Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.004
Horizontal Delay,0.016
Sample Interval,4e-07
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-3.588400e-03,0.2
-3.588000e-03,0
-3.587600e-03,0.2
-3.587200e-03,0.2
-3.586800e-03,0
-3.586400e-03,0
-3.586000e-03,0.2
-3.585600e-03,0
-3.585200e-03,0
-3.584800e-03,0
-3.584400e-03,0.2
-3.584000e-03,0.2
-3.583600e-03,0.2
-3.583200e-03,0.2
-3.582800e-03,0.2
-3.582400e-03,0.2
-3.582000e-03,0.2
-3.581600e-03,0
-3.581200e-03,0.2
-3.580800e-03,0
-3.580400e-03,0
-3.580000e-03,0
-3.579600e-03,0
-3.579200e-03,0
-3.578800e-03,0
-3.578400e-03,0.2
-3.578000e-03,0.2
-3.577600e-03,0
-3.577200e-03,0.2
-3.576800e-03,0
-3.576400e-03,0
-3.576000e-03,0
-3.575600e-03,0
-3.575200e-03,0.2
-3.574800e-03,0
-3.574400e-03,0
-3.574000e-03,0
-3.573600e-03,0
-3.573200e-03,0.2
-3.572800e-03,0
-3.572400e-03,0.2
-3.572000e-03,0
-3.571600e-03,0.2
-3.571200e-03,0
-3.570800e-03,0.2
-3.570400e-03,0.2
-3.570000e-03,0
-3.569600e-03,0
-3.569200e-03,0.2
-3.568800e-03,0
-3.568400e-03,0
-3.568000e-03,0.2
-3.567600e-03,0
-3.567200e-03,0
-3.566800e-03,0
-3.566400e-03,0.2
-3.566000e-03,0.2
-3.565600e-03,0
-3.565200e-03,0
-3.564800e-03,0
-3.564400e-03,0
-3.564000e-03,0
-3.563600e-03,0
-3.563200e-03,0.2
-3.562800e-03,0.2
-3.562400e-03,0.2
-3.562000e-03,0
-3.561600e-03,0
-3.561200e-03,0
-3.560800e-03,0.2
-3.560400e-03,0
-3.560000e-03,0
-3.559600e-03,0
-3.559200e-03,0
-3.558800e-03,0
-3.558400e-03,0
-3.558000e-03,0
-3.557600e-03,0
-3.557200e-03,0.2
-3.556800e-03,0
-3.556400e-03,0.2
-3.556000e-03,0
-3.555600e-03,0
-3.555200e-03,0
-3.554800e-03,0
-3.554400e-03,0
-3.554000e-03,0
-3.553600e-03,0
-3.553200e-03,0
-3.552800e-03,0
-3.552400e-03,0
-3.552000e-03,0
-3.551600e-03,0
-3.551200e-03,0
-3.550800e-03,0
-3.550400e-03,0
-3.550000e-03,0
-3.549600e-03,0
-3.549200e-03,0
-3.548800e-03,0.2
-3.548400e-03,0
-3.548000e-03,0
-3.547600e-03,0
-3.547200e-03,0
-3.546800e-03,0
-3.546400e-03,0
-3.546000e-03,0.2
-3.545600e-03,0
-3.545200e-03,0
-3.544800e-03,0.2
-3.544400e-03,0.2
-3.544000e-03,0.2
-3.543600e-03,0
-3.543200e-03,0
-3.542800e-03,0
-3.542400e-03,0
-3.542000e-03,0
-3.541600e-03,0.2
-3.541200e-03,0
-3.540800e-03,0.2
